2200,3,2,10,340000
2400,4,3,6,430000
2800,3,3,5,420000
2100,2,1,8,270000
2900,4,2,3,450000
2300,3,2,7,360000
2000,2,1,9,280000
3100,4,3,2,510000
2500,3,2,8,380000
2400,3,2,7,370000
2600,3,2,4,400000
2300,4,3,1,480000
2700,3,2,5,410000
2200,3,2,6,350000
2300,2,1,9,290000
2500,4,3,3,460000
2400,3,2,8,360000
2100,3,2,7,340000
2800,4,3,2,490000
2700,3,2,6,400000
2600,2,1,10,300000
2500,4,3,4,470000
2200,3,2,9,350000
2000,3,2,7,330000
2900,4,3,1,500000
2300,3,2,8,360000
2400,2,1,10,310000
2500,4,3,5,440000
2600,3,2,8,380000
2100,3,2,7,340000
2800,4,3,2,490000
2700,3,2,6,400000
3000,2,1,10,320000
2500,4,3,5,430000
2200,3,2,9,340000
2000,3,2,7,330000
2900,4,3,1,500000
2400,3,2,8,370000
2500,2,1,10,310000
2600,4,3,5,440000
2700,3,2,8,390000
2100,3,2,7,340000
2800,4,3,1,480000
2700,3,2,6,400000
3000,2,1,10,320000
2600,4,3,6,420000
2200,3,2,9,340000
2000,3,2,7,330000
2900,4,3,1,500000
2500,3,2,8,380000
2600,2,1,10,310000
2700,4,3,5,430000
2800,3,2,8,390000
2100,3,2,7,340000
2800,4,3,1,480000
2900,3,2,6,410000
3100,2,1,10,330000
2700,4,3,6,420000
2300,3,2,9,350000
2000,3,2,7,330000
3000,4,3,1,510000
2600,3,2,8,380000
2700,2,1,10,320000
2800,4,3,5,430000
2900,3,2,8,390000
2200,3,2,7,350000
2800,4,3,1,480000
2900,3,2,6,410000
3000,2,1,10,330000
2800,4,3,6,420000
2300,3,2,9,350000
2000,3,2,7,330000
3100,4,3,1,510000
2700,3,2,8,390000
2800,2,1,10,320000
2900,4,3,5,450000
3000,3,2,8,410000
2200,3,2,7,360000
2800,4,3,1,490000
2900,3,2,6,410000
3100,2,1,10,340000
2800,4,3,7,430000
2400,3,2,10,360000
2100,3,2,8,340000
3200,4,3,1,520000
2800,3,2,9,400000
2900,2,1,11,330000
3000,4,3,6,450000
3100,3,2,9,420000
2300,3,2,8,360000
2900,4,3,2,480000
3000,3,2,7,420000
3200,2,1,11,340000
2900,4,3,7,450000
2500,3,2,10,370000
2200,3,2,9,350000
3300,4,3,2,530000
2900,3,2,10,410000
3000,2,1,12,350000
3100,4,3,7,460000
3200,3,2,10,430000
2400,3,2,9,370000
3000,4,3,3,490000
3100,3,2,8,430000
3300,2,1,12,360000
3000,4,3,8,460000
2600,3,2,11,380000
2300,3,2,10,360000
3400,4,3,3,540000
2200,3,2,11,350000
2700,4,3,9,440000
3100,3,2,5,410000
2600,3,2,10,380000
3000,4,3,4,490000
3200,3,2,3,430000
2100,2,1,12,280000
2400,4,3,10,420000
2900,3,2,7,390000
3100,4,3,5,460000
3300,3,2,2,440000
